# From Jiang et al 2015 RNA sequencing from human neutrophils reveals distinct transcriptional differences associated with chronic inflammatory states,,,,,,,,,,,,
# Supplemental Table 1. Genes identified as expressed in neutrophils  in all 9 subjects,,,,,,,,,,,,
Gene ID,FPKM,,,,,,,,,,,
S100P,494.646,1063.34,1281.07,498.995,370.393,633.647,852.708,1184.62,1656.41,8035.83,,
FCGR2A,561.323,900.952,952.975,816.541,955.831,1102.29,803.601,713.524,1140.27,7947.31,,
LST1,914.946,856.94,890.145,801.241,831.767,988.683,839.309,925.117,815.208,7863.36,,
CXCR1,366.963,857.034,859.483,746.36,1021.38,963.279,756.178,834.629,1160.53,7565.84,,
PTPRC,631.13,873.511,904.439,923.225,1001.85,841.999,774.487,791.053,781.229,7522.92,,
H3F3B,604.768,734.361,908.044,814.149,889.104,1016.72,892.688,729.012,820.243,7409.09,,
FOS,548.558,716.134,1075.88,764.575,604.524,1040.98,892.041,1096.64,669.388,7408.72,,
SDCBP,473.171,829.801,917.09,743.856,842.152,888.976,876.204,712.741,1044.78,7328.77,,
ICAM3,795.015,841.489,902.68,735.213,638.394,837.057,817.255,977.621,771.595,7316.32,,
PSAP,633.087,819.404,861.332,705.752,682.106,750.796,911.445,899.536,934.775,7198.23,,
COTL1,866.89,706.59,820.652,826.767,702.591,892.479,865.644,759.841,739.618,7181.07,,
NCF1,932.891,670.415,850.751,892.503,591.227,750.389,811.498,1075.04,567.442,7142.16,,
ITGB2,947.966,603.211,818.319,796.815,662.122,848.141,755.782,802.933,859.538,7094.83,,
GABARAP,643.855,846.284,753.931,706.421,719.028,831.171,885.907,719.599,835.829,6942.03,,
HBB,3829.1,177.689,321.803,212.643,572.473,622.601,695.997,327.526,120.427,6880.26,,
EVI2B,590.934,726.986,891.356,711.55,797.279,820.478,873.513,751.977,680.635,6844.71,,
FCGR3A,442.7,1180.61,819.246,635.316,833.058,1016.71,677.515,545.808,593.812,6744.78,,
BASP1,357.079,618.05,832.097,529.646,712.548,815.156,750.915,657.067,1367.49,6640.05,,
MYO1F,718.563,752.509,747.32,651.184,642.316,674.207,841.363,867.802,711.664,6606.93,,
RAC2,800.677,517.581,778.259,725.164,592.301,775.944,865.187,677.484,856.452,6589.05,,
ALOX5AP,660.796,702.364,535.559,673.712,357.608,610.04,970.625,665.791,1332.46,6508.96,,
NCF4,804.618,595.305,732.799,598.841,658.99,794.745,681.625,691.702,912.457,6471.08,,
YPEL3,890.757,806.292,627.465,640.123,598.006,793.444,796.719,722.772,571.561,6447.14,,
MMP25,588.021,756.701,722.407,619.933,647.311,771.796,812.107,686.505,838.341,6443.12,,
CTSS,381.162,687.79,934.284,783.076,618.332,707.621,714.757,782.954,562.362,6172.34,,
CYBA,897.85,566.847,596.479,518.464,462.585,654.316,730.445,694.252,970.742,6091.98,,
CFL1,660.21,581.326,607.543,561.156,518.911,647.212,762.557,726.6,983.809,6049.32,,
ARPC2,564.411,612.343,723.67,617.967,576.905,654.541,776.59,702.756,740.988,5970.17,,
EIF1,658.335,730.122,586.39,681.271,414.924,572.14,999.814,705.106,567.289,5915.39,,
FCER1G,303.821,655.422,783.972,436.944,991.782,491.311,502.938,455.178,1248.56,5869.93,,
ARRB2,562.226,660.056,591.818,602.689,652.478,718.47,630.498,602.383,846.285,5866.90,,
C5AR1,346.236,643.257,775.389,625.295,572.959,682.704,781.474,794.363,606.296,5827.97,,
ARHGAP9,835.626,605.774,672.977,616.223,566.147,579.575,647.452,708.447,535.468,5767.69,,
